"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"1974-06-01 00:00:00",99.16513
"1974-07-01 00:00:00",98.93156
"1974-08-01 00:00:00",98.70252
"1974-09-01 00:00:00",98.49648
"1974-10-01 00:00:00",98.33415
"1974-11-01 00:00:00",98.26022
"1974-12-01 00:00:00",98.27732
"1975-01-01 00:00:00",98.4156
"1975-02-01 00:00:00",98.66225
"1975-03-01 00:00:00",98.95061
"1975-04-01 00:00:00",99.21163
"1975-05-01 00:00:00",99.38422
"1975-06-01 00:00:00",99.48846
"1975-07-01 00:00:00",99.56932
"1975-08-01 00:00:00",99.62453
"1975-09-01 00:00:00",99.69224
"1975-10-01 00:00:00",99.84059
"1975-11-01 00:00:00",100.1133
"1975-12-01 00:00:00",100.4579
"1976-01-01 00:00:00",100.7655
"1976-02-01 00:00:00",100.9225
"1976-03-01 00:00:00",100.9784
"1976-04-01 00:00:00",101.012
"1976-05-01 00:00:00",101.0657
"1976-06-01 00:00:00",101.0999
"1976-07-01 00:00:00",101.075
"1976-08-01 00:00:00",100.9781
"1976-09-01 00:00:00",100.854
"1976-10-01 00:00:00",100.7656
"1976-11-01 00:00:00",100.773
"1976-12-01 00:00:00",100.8477
"1977-01-01 00:00:00",100.9408
"1977-02-01 00:00:00",100.9857
"1977-03-01 00:00:00",100.9647
"1977-04-01 00:00:00",100.9067
"1977-05-01 00:00:00",100.8791
"1977-06-01 00:00:00",100.9417
"1977-07-01 00:00:00",101.0597
"1977-08-01 00:00:00",101.1735
"1977-09-01 00:00:00",101.2796
"1977-10-01 00:00:00",101.3848
"1977-11-01 00:00:00",101.4718
"1977-12-01 00:00:00",101.5466
"1978-01-01 00:00:00",101.5888
"1978-02-01 00:00:00",101.5739
"1978-03-01 00:00:00",101.5156
"1978-04-01 00:00:00",101.515
"1978-05-01 00:00:00",101.5428
"1978-06-01 00:00:00",101.55
"1978-07-01 00:00:00",101.5651
"1978-08-01 00:00:00",101.5487
"1978-09-01 00:00:00",101.5343
"1978-10-01 00:00:00",101.4081
"1978-11-01 00:00:00",101.1476
"1978-12-01 00:00:00",100.879
"1979-01-01 00:00:00",100.7868
"1979-02-01 00:00:00",100.7688
"1979-03-01 00:00:00",100.7068
"1979-04-01 00:00:00",100.6273
"1979-05-01 00:00:00",100.5251
"1979-06-01 00:00:00",100.3334
"1979-07-01 00:00:00",100.1293
"1979-08-01 00:00:00",100.0183
"1979-09-01 00:00:00",99.90708
"1979-10-01 00:00:00",99.72863
"1979-11-01 00:00:00",99.56174
"1979-12-01 00:00:00",99.39895
"1980-01-01 00:00:00",99.24806
"1980-02-01 00:00:00",99.02075
"1980-03-01 00:00:00",98.70576
"1980-04-01 00:00:00",98.49976
"1980-05-01 00:00:00",98.47876
"1980-06-01 00:00:00",98.62378
"1980-07-01 00:00:00",98.85192
"1980-08-01 00:00:00",99.13673
"1980-09-01 00:00:00",99.36182
"1980-10-01 00:00:00",99.42387
"1980-11-01 00:00:00",99.29297
"1980-12-01 00:00:00",99.05514
"1981-01-01 00:00:00",98.92838
"1981-02-01 00:00:00",98.79504
"1981-03-01 00:00:00",98.74158
"1981-04-01 00:00:00",98.81833
"1981-05-01 00:00:00",98.91753
"1981-06-01 00:00:00",98.90216
"1981-07-01 00:00:00",98.85802
"1981-08-01 00:00:00",98.80049
"1981-09-01 00:00:00",98.69484
"1981-10-01 00:00:00",98.54767
"1981-11-01 00:00:00",98.45073
"1981-12-01 00:00:00",98.5225
"1982-01-01 00:00:00",98.69807
"1982-02-01 00:00:00",98.76427
"1982-03-01 00:00:00",98.81396
"1982-04-01 00:00:00",98.92072
"1982-05-01 00:00:00",98.97076
"1982-06-01 00:00:00",98.90754
"1982-07-01 00:00:00",98.78045
"1982-08-01 00:00:00",98.71404
"1982-09-01 00:00:00",98.7311
"1982-10-01 00:00:00",98.79728
"1982-11-01 00:00:00",98.85162
"1982-12-01 00:00:00",98.92944
"1983-01-01 00:00:00",99.1213
"1983-02-01 00:00:00",99.47134
"1983-03-01 00:00:00",99.91874
"1983-04-01 00:00:00",100.2845
"1983-05-01 00:00:00",100.4766
"1983-06-01 00:00:00",100.532
"1983-07-01 00:00:00",100.5341
"1983-08-01 00:00:00",100.5068
"1983-09-01 00:00:00",100.4791
"1983-10-01 00:00:00",100.5167
"1983-11-01 00:00:00",100.6715
"1983-12-01 00:00:00",100.8896
"1984-01-01 00:00:00",101.0642
"1984-02-01 00:00:00",101.0903
"1984-03-01 00:00:00",101.0328
"1984-04-01 00:00:00",100.91
"1984-05-01 00:00:00",100.8163
"1984-06-01 00:00:00",100.7699
"1984-07-01 00:00:00",100.8264
"1984-08-01 00:00:00",100.9283
"1984-09-01 00:00:00",100.9978
"1984-10-01 00:00:00",100.9782
"1984-11-01 00:00:00",100.9676
"1984-12-01 00:00:00",100.9893
"1985-01-01 00:00:00",101.0435
"1985-02-01 00:00:00",101.017
"1985-03-01 00:00:00",100.9706
"1985-04-01 00:00:00",100.9396
"1985-05-01 00:00:00",100.9119
"1985-06-01 00:00:00",100.923
"1985-07-01 00:00:00",100.9192
"1985-08-01 00:00:00",100.9197
"1985-09-01 00:00:00",100.9569
"1985-10-01 00:00:00",101.0293
"1985-11-01 00:00:00",101.131
"1985-12-01 00:00:00",101.2602
"1986-01-01 00:00:00",101.3792
"1986-02-01 00:00:00",101.4364
"1986-03-01 00:00:00",101.4491
"1986-04-01 00:00:00",101.445
"1986-05-01 00:00:00",101.4333
"1986-06-01 00:00:00",101.4385
"1986-07-01 00:00:00",101.402
"1986-08-01 00:00:00",101.3432
"1986-09-01 00:00:00",101.2977
"1986-10-01 00:00:00",101.2851
"1986-11-01 00:00:00",101.2152
"1986-12-01 00:00:00",101.1445
"1987-01-01 00:00:00",101.1318
"1987-02-01 00:00:00",101.1669
"1987-03-01 00:00:00",101.2221
"1987-04-01 00:00:00",101.2827
"1987-05-01 00:00:00",101.3171
"1987-06-01 00:00:00",101.369
"1987-07-01 00:00:00",101.4349
"1987-08-01 00:00:00",101.4674
"1987-09-01 00:00:00",101.4315
"1987-10-01 00:00:00",101.3102
"1987-11-01 00:00:00",101.1951
"1987-12-01 00:00:00",101.2394
"1988-01-01 00:00:00",101.3698
"1988-02-01 00:00:00",101.4879
"1988-03-01 00:00:00",101.5694
"1988-04-01 00:00:00",101.6012
"1988-05-01 00:00:00",101.639
"1988-06-01 00:00:00",101.6704
"1988-07-01 00:00:00",101.7159
"1988-08-01 00:00:00",101.8013
"1988-09-01 00:00:00",101.8474
"1988-10-01 00:00:00",101.8325
"1988-11-01 00:00:00",101.7931
"1988-12-01 00:00:00",101.7496
"1989-01-01 00:00:00",101.7244
"1989-02-01 00:00:00",101.6111
"1989-03-01 00:00:00",101.4358
"1989-04-01 00:00:00",101.2743
"1989-05-01 00:00:00",101.1888
"1989-06-01 00:00:00",101.192
"1989-07-01 00:00:00",101.2685
"1989-08-01 00:00:00",101.3679
"1989-09-01 00:00:00",101.4792
"1989-10-01 00:00:00",101.475
"1989-11-01 00:00:00",101.4228
