DATE,DSPI_PC1
1960-01-01,5.13401
1960-04-01,4.26418
1960-07-01,4.34502
1960-10-01,3.47304
1961-01-01,3.31239
1961-04-01,3.64620
1961-07-01,4.81694
1961-10-01,6.53721
1962-01-01,6.85550
1962-04-01,6.77908
1962-07-01,5.84968
1962-10-01,4.95670
1963-01-01,4.67556
1963-04-01,4.30461
1963-07-01,5.10496
1963-10-01,5.94845
1964-01-01,7.29434
1964-04-01,9.24531
1964-07-01,9.29793
1964-10-01,8.72209
1965-01-01,7.73965
1965-04-01,6.39465
1965-07-01,7.95321
1965-10-01,8.86827
1966-01-01,9.13917
1966-04-01,8.54933
1966-07-01,7.36086
1966-10-01,6.97412
1967-01-01,7.01311
1967-04-01,7.21204
1967-07-01,7.09508
1967-10-01,6.71275
1968-01-01,7.70426
1968-04-01,9.19834
1968-07-01,8.64377
1968-10-01,8.95817
1969-01-01,7.34014
1969-04-01,6.91467
1969-07-01,8.94672
1969-10-01,8.98741
1970-01-01,10.06321
1970-04-01,10.15135
1970-07-01,9.40400
1970-10-01,8.46815
1971-01-01,9.24712
1971-04-01,9.52507
1971-07-01,8.36743
1971-10-01,9.15793
1972-01-01,7.62831
1972-04-01,6.59110
1972-07-01,7.99555
1972-10-01,11.24732
1973-01-01,11.76018
1973-04-01,13.03690
1973-07-01,12.42641
1973-10-01,10.61552
1974-01-01,9.84137
1974-04-01,8.86843
1974-07-01,9.40660
1974-10-01,8.58158
1975-01-01,9.05987
1975-04-01,13.37064
1975-07-01,10.71589
1975-10-01,10.80757
1976-01-01,11.47560
1976-04-01,6.75672
1976-07-01,8.80326
1976-10-01,8.54054
1977-01-01,8.22769
1977-04-01,9.56095
1977-07-01,10.20439
1977-10-01,11.42260
1978-01-01,11.86162
1978-04-01,12.36752
1978-07-01,11.97269
1978-10-01,11.11063
1979-01-01,11.84258
1979-04-01,10.40575
1979-07-01,10.85351
1979-10-01,10.92775
1980-01-01,11.23566
1980-04-01,10.95783
1980-07-01,11.49014
1980-10-01,12.81244
1981-01-01,11.73804
1981-04-01,11.97143
1981-07-01,12.36586
1981-10-01,9.93508
1982-01-01,8.96313
1982-04-01,8.77167
1982-07-01,6.96326
1982-10-01,6.82642
1983-01-01,7.16915
1983-04-01,7.22190
1983-07-01,7.98401
1983-10-01,9.45044
1984-01-01,10.72927
1984-04-01,11.77966
1984-07-01,10.98202
1984-10-01,9.47008
1985-01-01,7.25391
1985-04-01,7.48679
1985-07-01,5.81984
1985-10-01,6.19365
1986-01-01,7.39150
1986-04-01,5.64676
1986-07-01,6.25935
1986-10-01,5.01915
1987-01-01,4.62312
1987-04-01,3.35088
1987-07-01,5.05816
1987-10-01,6.83267
1988-01-01,7.62904
1988-04-01,10.14859
1988-07-01,9.61682
1988-10-01,9.24932
1989-01-01,9.03289
1989-04-01,7.70563
1989-07-01,6.64292
1989-10-01,6.30966
1990-01-01,6.33023
1990-04-01,7.00182
1990-07-01,7.03468
1990-10-01,5.83129
1991-01-01,4.34926
1991-04-01,3.98646
1991-07-01,3.76076
1991-10-01,4.79470
1992-01-01,6.59724
1992-04-01,6.92080
1992-07-01,6.93046
1992-10-01,6.54022
1993-01-01,4.89055
1993-04-01,4.24810
1993-07-01,3.67562
1993-10-01,3.80987
1994-01-01,3.84314
1994-04-01,4.43524
1994-07-01,5.25812
1994-10-01,5.91672
1995-01-01,6.25918
1995-04-01,5.52619
1995-07-01,5.53366
1995-10-01,4.60372
1996-01-01,4.76193
1996-04-01,5.50727
1996-07-01,5.39554
1996-10-01,5.58212
1997-01-01,5.44874
1997-04-01,4.96632
1997-07-01,5.21417
1997-10-01,5.84376
1998-01-01,6.64946
1998-04-01,7.14575
1998-07-01,6.99345
1998-10-01,6.17175
1999-01-01,5.27024
1999-04-01,4.28752
1999-07-01,4.24085
1999-10-01,5.16721
2000-01-01,6.52344
2000-04-01,7.61431
2000-07-01,8.37282
2000-10-01,7.66016
2001-01-01,6.58185
2001-04-01,5.24530
2001-07-01,5.61984
2001-10-01,2.63652
2002-01-01,3.70237
2002-04-01,4.89950
2002-07-01,3.15892
2002-10-01,5.98985
2003-01-01,4.11935
2003-04-01,3.79865
2003-07-01,5.58825
2003-10-01,5.25680
2004-01-01,5.71409
2004-04-01,6.20020
2004-07-01,4.92023
2004-10-01,6.23743
2005-01-01,4.12728
2005-04-01,3.97210
2005-07-01,4.29399
2005-10-01,3.95802
2006-01-01,7.27535
2006-04-01,6.96157
2006-07-01,6.34252
2006-10-01,5.66442
2007-01-01,4.94591
2007-04-01,5.04245
2007-07-01,4.90609
2007-10-01,4.99863
2008-01-01,4.54109
2008-04-01,6.30143
2008-07-01,4.59684
2008-10-01,2.92645
2009-01-01,0.89808
2009-04-01,-1.04503
2009-07-01,-0.69467
2009-10-01,0.69523
2010-01-01,2.46128
2010-04-01,3.22089
2010-07-01,4.53454
2010-10-01,4.64130
2011-01-01,5.53875
2011-04-01,4.46567
2011-07-01,4.73643
2011-10-01,4.25396
2012-01-01,4.61480
2012-04-01,4.75147
2012-07-01,3.19378
2012-10-01,6.06997
2013-01-01,0.01632
2013-04-01,-0.08897
2013-07-01,1.18248
2013-10-01,-1.61016
2014-01-01,3.75658
2014-04-01,4.68435
2014-07-01,5.15641
2014-10-01,5.97799
2015-01-01,5.23920
2015-04-01,4.29946
2015-07-01,3.88974
2015-10-01,3.06678
2016-01-01,3.00287
2016-04-01,2.62409
2016-07-01,2.71971
2016-10-01,3.35534
2017-01-01,4.14081
2017-04-01,5.03523
2017-07-01,5.18324
2017-10-01,5.29952
2018-01-01,5.43462
2018-04-01,5.57315
2018-07-01,5.92813
2018-10-01,6.04636
2019-01-01,5.71089
2019-04-01,4.72929
2019-07-01,4.23417
2019-10-01,3.75838
2020-01-01,3.27659
2020-04-01,12.51597
2020-07-01,8.40811
2020-10-01,5.75155
2021-01-01,18.68034
2021-04-01,1.50551
2021-07-01,4.62205
2021-10-01,6.85934
2022-01-01,-6.65265
2022-04-01,1.06995
2022-07-01,3.67451
2022-10-01,5.13956
2023-01-01,10.07305
2023-04-01,10.26501
2023-07-01,8.34343
2023-10-01,7.56719
2024-01-01,6.11290
2024-04-01,5.41666
2024-07-01,4.96023
2024-10-01,.
