DATE,POPTHM
1959-01-01,176045.333333333333
1959-04-01,176726.666666666667
1959-07-01,177480.666666666667
1959-10-01,178267.666666666667
1960-01-01,179319.333333333333
1960-04-01,180401.000000000000
1960-07-01,181301.000000000000
1960-10-01,182019.333333333333
1961-01-01,182634.000000000000
1961-04-01,183337.333333333333
1961-07-01,184103.333333333333
1961-10-01,184894.333333333333
1962-01-01,185553.333333333333
1962-04-01,186202.666666666667
1962-07-01,186926.333333333333
1962-10-01,187679.666666666667
1963-01-01,188299.000000000000
1963-04-01,188906.333333333333
1963-07-01,189631.000000000000
1963-10-01,190362.000000000000
1964-01-01,190954.000000000000
1964-04-01,191560.333333333333
1964-07-01,192256.000000000000
1964-10-01,192937.666666666667
1965-01-01,193466.666666666667
1965-04-01,193994.000000000000
1965-07-01,194646.666666666667
1965-10-01,195278.666666666667
1966-01-01,195763.000000000000
1966-04-01,196276.666666666667
1966-07-01,196876.666666666667
1966-10-01,197480.666666666667
1967-01-01,197967.000000000000
1967-04-01,198455.333333333333
1967-07-01,199012.000000000000
1967-10-01,199572.000000000000
1968-01-01,199994.666666666667
1968-04-01,200451.666666666667
1968-07-01,200997.333333333333
1968-10-01,201537.666666666667
1969-01-01,201955.000000000000
1969-04-01,202419.000000000000
1969-07-01,202985.666666666667
1969-10-01,203583.666666666667
1970-01-01,204085.666666666667
1970-04-01,204721.333333333333
1970-07-01,205418.666666666667
1970-10-01,206129.666666666667
1971-01-01,206763.000000000000
1971-04-01,207362.000000000000
1971-07-01,207999.666666666667
1971-10-01,208642.333333333333
1972-01-01,209141.666666666667
1972-04-01,209637.333333333333
1972-07-01,210180.666666666667
1972-10-01,210736.666666666667
1973-01-01,211192.333333333333
1973-04-01,211663.000000000000
1973-07-01,212191.333333333333
1973-10-01,212708.000000000000
1974-01-01,213144.000000000000
1974-04-01,213602.333333333333
1974-07-01,214147.000000000000
1974-10-01,214699.666666666667
1975-01-01,215135.333333333333
1975-04-01,215651.666666666667
1975-07-01,216289.333333333333
1975-10-01,216847.666666666667
1976-01-01,217314.000000000000
1976-04-01,217776.000000000000
1976-07-01,218337.666666666667
1976-10-01,218917.333333333333
1977-01-01,219426.666666666667
1977-04-01,219956.000000000000
1977-07-01,220572.666666666667
1977-10-01,221201.000000000000
1978-01-01,221718.666666666667
1978-04-01,222281.333333333333
1978-07-01,222932.666666666667
1978-10-01,223583.000000000000
1979-01-01,224152.000000000000
1979-04-01,224737.000000000000
1979-07-01,225418.333333333333
1979-10-01,226117.333333333333
1980-01-01,226754.000000000000
1980-04-01,227389.000000000000
1980-07-01,228070.666666666667
1980-10-01,228689.666666666667
1981-01-01,229155.333333333333
1981-04-01,229673.666666666667
1981-07-01,230301.333333333333
1981-10-01,230903.666666666667
1982-01-01,231395.000000000000
1982-04-01,231906.000000000000
1982-07-01,232498.000000000000
1982-10-01,233074.333333333333
1983-01-01,233546.000000000000
1983-04-01,234028.333333333333
1983-07-01,234603.000000000000
1983-10-01,235153.333333333333
1984-01-01,235604.666666666667
1984-04-01,236082.333333333333
1984-07-01,236657.333333333333
1984-10-01,237232.666666666667
1985-01-01,237672.666666666667
1985-04-01,238175.666666666667
1985-07-01,238789.333333333333
1985-10-01,239386.666666666667
1986-01-01,239860.666666666667
1986-04-01,240367.666666666667
1986-07-01,240961.666666666667
1986-10-01,241539.000000000000
1987-01-01,242009.333333333333
1987-04-01,242520.000000000000
1987-07-01,243120.333333333333
1987-10-01,243720.666666666667
1988-01-01,244207.666666666667
1988-04-01,244716.666666666667
1988-07-01,245354.000000000000
1988-10-01,245966.333333333333
1989-01-01,246460.333333333333
1989-04-01,247017.333333333333
1989-07-01,247698.333333333333
1989-10-01,248374.333333333333
1990-01-01,248936.333333333333
1990-04-01,249711.000000000000
1990-07-01,250594.666666666667
